"Popolazione per età, vista per singola area - Comune: 018168 - Valle Lomellina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Valle Lomellina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;14;19;12;16;19;19;13;14;11;11;19;12;19;16;10;14;16
1;16;16;11;15;12;19;21;16;12;15;11;12;21;14;19;13;12;13
2;12;20;18;13;14;15;21;23;16;16;15;11;12;23;13;20;12;9
3;13;14;19;17;11;13;17;20;21;14;17;16;10;14;25;13;21;15
4;12;15;13;20;17;12;17;15;19;22;14;17;15;15;13;24;12;17
5;16;14;17;13;15;16;17;15;14;20;23;14;15;15;14;12;24;13
6;10;16;12;16;13;16;17;19;14;16;20;25;15;13;13;15;13;23
7;11;12;14;13;16;13;18;16;17;14;15;21;24;15;15;14;16;15
8;16;9;12;15;10;16;17;18;14;17;14;16;19;22;16;15;12;14
9;21;16;9;14;14;10;18;17;18;14;17;14;17;19;24;13;14;14
10;12;21;19;9;14;17;12;19;20;19;14;19;14;20;21;24;14;14
11;14;12;20;18;9;16;20;11;15;18;19;13;18;15;19;20;23;15
12;25;15;13;20;16;11;17;20;12;15;18;20;12;14;14;18;17;21
13;19;24;15;14;20;20;12;16;19;11;15;18;21;12;15;13;15;18
14;13;18;23;16;15;22;19;12;16;19;12;14;19;21;12;17;12;13
15;16;12;19;25;15;14;17;17;10;15;17;13;14;19;21;12;18;12
16;18;15;11;18;23;19;14;16;19;10;15;17;13;15;18;20;13;18
17;16;17;15;11;17;22;17;14;14;20;11;15;17;16;17;18;20;12
18;19;16;16;13;12;21;25;17;15;17;19;12;18;17;16;16;20;23
19;18;20;17;21;11;15;20;26;19;14;18;18;11;18;17;15;20;20
20;26;19;22;18;21;14;17;20;24;21;15;18;18;10;13;20;13;18
21;22;23;17;21;17;22;20;16;20;24;21;13;19;19;10;16;24;16
22;25;24;27;15;21;18;22;18;12;20;23;20;14;20;22;12;19;25
23;30;23;25;25;17;16;16;21;19;14;19;22;16;15;19;26;12;22
24;28;30;22;28;24;15;19;17;21;21;16;20;21;18;14;22;24;13
25;25;25;27;21;29;21;17;23;15;22;20;15;18;25;19;22;26;23
26;34;27;23;28;22;27;22;19;22;19;22;22;16;20;27;22;22;28
27;36;36;28;28;24;25;26;25;17;26;22;23;21;18;22;31;21;22
28;20;37;34;24;31;24;35;24;25;15;28;22;25;18;14;25;28;20
29;37;23;41;39;25;32;29;39;23;20;23;29;25;28;20;15;24;30
30;31;33;20;44;35;25;34;28;32;20;24;25;28;29;31;26;17;26
31;40;27;33;21;44;32;28;33;33;30;28;30;28;30;29;28;23;19
32;26;40;28;35;25;50;33;27;35;32;28;28;26;26;28;33;22;24
33;31;22;40;33;32;20;38;32;28;34;28;32;25;24;24;27;30;26
34;36;35;19;42;33;31;23;33;34;28;34;29;33;26;24;27;25;24
35;30;38;33;21;44;35;32;19;36;36;31;36;27;32;25;28;25;23
36;32;31;40;34;21;47;36;36;19;36;35;35;34;28;32;26;28;22
37;33;32;30;39;37;22;49;40;34;21;34;40;34;38;28;31;24;31
38;26;32;28;28;42;33;20;50;37;35;21;34;39;34;35;29;30;22
39;30;28;31;28;23;39;33;27;51;37;35;23;36;40;31;33;27;32
40;33;33;30;30;27;26;38;33;27;50;37;36;24;36;35;28;31;28
41;31;33;35;29;28;28;28;39;31;27;49;39;37;26;38;34;24;32
42;29;31;36;34;30;28;27;28;40;31;27;50;41;38;27;40;33;24
43;27;28;29;32;31;31;28;30;29;38;34;28;49;40;37;27;37;34
44;39;28;30;29;33;30;31;27;29;29;37;36;28;48;42;37;25;40
45;32;41;27;31;30;33;30;32;26;26;29;38;36;29;47;37;37;27
46;32;30;40;26;30;35;34;31;30;26;27;29;39;35;28;48;36;36
47;31;32;31;41;25;30;34;32;33;31;26;27;27;38;35;28;51;38
48;30;30;33;33;41;26;30;36;30;32;34;24;27;27;39;34;26;50
49;30;30;31;34;35;41;27;28;36;32;32;30;25;28;27;38;34;26
50;29;31;31;33;35;34;44;28;29;34;32;30;33;27;26;27;37;31
51;37;27;31;30;29;37;36;41;29;32;34;33;30;32;27;24;27;35
52;29;36;27;34;29;29;37;38;39;29;30;34;32;31;33;26;25;26
53;37;28;38;28;35;30;32;36;37;42;28;30;34;33;28;34;26;23
54;32;39;29;38;28;34;30;31;36;37;39;27;31;36;34;27;34;23
55;26;32;39;30;39;28;35;28;32;33;38;39;27;32;37;33;25;33
56;24;27;32;39;29;38;27;31;27;31;32;37;39;25;34;34;32;25
57;19;22;29;32;39;30;38;27;31;28;30;31;37;42;26;34;34;32
58;35;22;23;26;32;39;32;37;27;30;28;29;32;36;43;24;34;33
59;28;36;23;22;25;31;39;32;37;27;29;28;29;31;37;39;24;33
60;24;27;37;23;21;24;31;41;33;37;27;28;28;29;31;39;42;24
61;31;24;27;37;23;22;24;29;36;33;37;27;28;28;28;30;39;41
62;31;32;25;27;35;21;21;25;32;35;33;37;29;29;28;27;32;38
63;32;31;32;26;27;36;22;19;25;31;35;33;37;29;27;28;29;32
64;26;33;31;31;24;27;38;22;19;24;31;31;32;37;29;28;30;31
65;36;25;31;30;30;26;27;38;22;19;23;28;32;33;37;29;27;28
66;37;35;26;29;29;30;24;24;37;21;19;22;27;32;32;37;29;27
67;31;36;32;25;29;29;30;22;24;35;20;19;23;26;32;31;36;28
68;32;28;35;32;24;30;31;32;22;24;35;19;18;23;24;32;25;37
69;36;32;28;35;29;25;29;31;31;20;22;34;18;18;23;24;34;24
70;31;37;29;29;34;28;24;30;30;30;20;23;34;18;18;21;25;34
71;26;31;37;27;29;34;27;22;31;29;28;19;23;36;17;17;19;26
72;18;23;30;35;27;29;34;25;21;30;28;28;20;23;36;17;18;17
73;21;18;21;29;32;28;28;33;25;20;30;27;27;20;23;34;15;20
74;27;18;17;20;30;31;27;28;34;25;19;30;28;26;20;23;31;10
75;26;27;16;19;21;29;32;27;27;33;23;18;30;28;27;20;23;30
76;19;24;23;16;17;19;26;30;24;25;30;21;18;30;28;26;18;22
77;30;18;24;20;17;17;18;25;27;21;23;27;20;18;30;28;20;18
78;25;32;14;23;18;16;16;17;26;27;21;23;23;19;19;29;28;18
79;26;26;32;14;22;17;16;15;16;26;26;21;25;21;19;18;27;29
80;25;23;26;28;13;18;17;15;15;17;24;25;20;24;21;19;16;27
81;19;20;21;23;25;14;19;19;12;14;17;23;21;20;22;22;20;17
82;13;19;19;20;21;24;14;19;18;12;12;17;21;20;18;20;22;17
83;6;12;18;19;18;21;25;13;16;17;11;12;17;19;20;16;19;23
84;7;6;11;16;16;17;21;22;13;15;13;8;13;17;16;19;17;18
85;7;6;6;6;18;15;18;18;19;13;12;12;9;13;16;16;18;17
86;6;7;6;6;5;15;14;16;18;16;12;9;11;7;15;16;13;17
87;8;5;7;4;4;5;12;13;14;17;15;11;6;9;7;17;14;8
88;10;9;3;8;3;5;5;10;13;10;16;14;9;5;10;6;14;14
89;10;10;7;4;7;3;4;2;11;11;9;14;13;8;4;9;7;10
90;10;9;9;5;4;7;3;2;2;10;9;8;14;13;7;4;6;8
91;6;10;4;7;5;3;4;2;3;1;10;4;5;15;8;6;4;6
92;5;4;9;3;6;4;2;3;2;2;1;7;1;5;12;7;4;2
93;2;3;3;7;1;4;4;0;3;1;2;1;5;2;4;10;4;4
94;3;0;2;3;5;1;4;4;0;3;1;2;2;6;2;1;8;5
95;5;3;0;1;2;1;1;4;3;0;1;1;2;2;7;2;1;8
96;1;4;3;0;0;2;1;1;2;2;0;1;0;2;1;6;1;0
97;2;1;4;2;0;0;1;1;1;2;2;0;0;0;1;1;5;1
98;0;2;0;3;0;0;0;1;0;1;1;1;0;0;0;1;1;4
99;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0
100 e oltre;0;0;0;2;1;1;1;1;1;2;0;0;0;0;0;0;0;0
Totale;2227;2227;2211;2210;2161;2190;2256;2233;2199;2184;2172;2180;2166;2214;2204;2210;2160;2150
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;9;5;12;10;7;10;11;3;6;5;3;6;6;12;7;4;7;6
1;8;11;3;9;10;9;11;10;3;6;5;4;6;6;12;5;5;7
2;4;8;12;4;8;14;10;12;9;5;6;5;5;10;6;13;6;5
3;10;6;8;12;3;7;14;9;12;7;5;7;5;5;9;6;14;7
4;2;11;5;8;13;4;9;10;8;12;7;4;6;8;4;9;6;10
5;12;5;11;5;5;11;7;8;9;9;12;7;4;6;6;2;9;7
6;4;12;3;10;5;5;10;8;8;11;9;13;9;4;7;8;2;8
7;7;5;10;3;11;6;7;10;7;8;10;10;13;9;4;7;9;2
8;8;5;5;10;2;11;9;7;10;7;8;10;9;13;10;4;7;7
9;13;8;6;6;9;2;13;8;7;10;6;9;11;8;12;8;3;7
10;7;11;10;6;5;10;4;13;8;7;10;8;9;12;8;12;9;3
11;10;7;12;9;7;7;12;3;11;8;7;9;7;9;13;7;12;10
12;13;11;8;12;7;8;8;12;3;11;8;7;8;7;9;12;6;11
13;9;13;11;9;12;9;9;8;12;2;11;8;8;8;6;9;9;6
14;9;8;13;12;10;14;8;10;8;12;2;11;8;8;8;8;8;8
15;6;9;8;15;12;10;12;9;8;7;11;3;11;8;7;8;8;8
16;10;6;8;8;13;13;10;11;11;8;7;11;3;12;7;8;8;8
17;5;10;6;8;7;12;11;9;10;12;9;7;11;3;12;7;8;7
18;13;5;9;6;8;10;11;10;9;10;11;9;8;11;3;11;9;10
19;13;14;5;11;4;10;10;10;12;9;10;11;8;7;10;3;15;9
20;12;13;18;5;12;4;11;10;10;13;9;9;11;7;5;14;3;15
21;9;11;12;17;7;11;4;10;11;10;14;8;8;11;7;9;17;5
22;14;12;14;11;17;6;12;4;7;11;10;13;10;10;11;10;10;19
23;16;13;14;13;12;12;5;13;6;7;11;10;11;10;9;16;10;14
24;12;16;13;16;13;9;15;4;13;7;8;11;10;12;9;11;14;11
25;18;12;15;13;16;11;11;18;2;14;8;7;11;9;12;16;15;14
26;16;19;11;16;15;16;10;14;18;6;13;9;8;12;11;16;16;17
27;18;16;20;13;16;16;16;11;11;21;7;12;7;10;12;18;15;15
28;6;18;17;17;14;15;19;15;13;11;20;9;13;5;7;16;17;14
29;25;9;22;19;17;14;17;21;14;12;14;20;9;16;7;7;16;21
30;15;21;7;22;19;17;17;17;19;14;13;15;21;11;18;14;8;17
31;23;14;23;11;23;20;19;15;22;16;18;16;16;22;12;19;15;10
32;11;22;15;23;14;28;20;18;14;21;14;18;12;16;23;15;14;17
33;15;8;25;18;23;9;24;19;18;15;18;16;17;12;15;24;13;19
34;17;18;8;27;20;21;11;21;18;17;18;19;17;17;11;17;23;10
35;16;19;16;8;30;20;22;7;21;21;19;21;15;17;17;14;16;21
36;22;17;19;15;8;29;22;24;7;20;21;20;20;15;17;16;14;16
37;16;20;16;19;17;8;31;24;24;8;18;25;19;22;15;16;14;17
38;8;15;16;13;21;15;7;33;23;25;10;17;23;19;19;16;16;13
39;20;9;16;16;9;18;16;11;33;22;25;10;20;23;18;19;15;17
40;16;22;10;15;15;12;18;16;11;33;22;26;10;20;21;16;17;17
41;17;14;22;10;14;15;14;19;16;9;32;23;27;10;20;20;16;17
42;17;16;15;22;9;14;12;15;19;16;9;31;24;27;9;21;19;16
43;12;17;16;15;21;9;14;15;16;17;17;10;31;24;27;11;19;20
44;16;14;18;15;16;19;9;12;14;17;16;20;10;32;25;26;10;20
45;15;18;13;19;16;16;19;9;11;12;17;16;20;11;30;21;26;13
46;16;13;17;11;19;19;17;20;11;11;12;17;19;20;11;28;21;24
47;13;16;12;17;12;19;20;15;21;11;11;12;16;18;19;11;31;23
48;15;13;16;14;17;11;19;21;13;21;14;11;13;16;17;18;11;32
49;11;15;14;16;15;16;11;17;21;14;21;11;11;14;16;16;18;12
50;14;12;16;15;16;14;18;12;17;20;14;19;12;11;14;16;16;16
51;17;12;13;16;12;17;15;18;13;18;20;15;18;11;11;13;15;13
52;14;16;12;15;16;12;17;15;16;13;17;20;15;19;11;11;13;14
53;19;14;17;13;14;17;15;17;15;17;12;18;19;17;18;12;11;11
54;13;20;15;17;14;13;17;15;17;15;15;12;19;19;18;18;13;10
55;13;13;19;16;17;14;13;15;16;15;15;15;12;19;20;18;17;12
56;13;14;13;19;16;17;13;11;14;15;14;15;15;10;19;20;17;17
57;9;11;16;13;19;16;18;13;11;15;14;13;15;18;10;18;18;17
58;21;10;10;13;13;19;17;17;13;11;15;13;11;14;20;10;18;18
59;13;20;11;9;13;13;19;17;17;13;11;15;13;11;14;17;10;18
60;12;13;21;11;7;12;14;19;17;17;13;11;15;13;12;16;18;10
61;19;12;13;21;11;8;12;13;17;17;17;13;12;15;12;12;16;18
62;22;19;13;13;20;12;7;12;15;17;17;17;14;12;14;13;15;15
63;14;22;19;14;13;20;12;6;12;15;17;17;17;14;12;15;13;15
64;11;15;22;18;13;13;22;12;6;11;15;15;16;17;14;13;15;13
65;17;10;14;22;18;13;13;22;12;6;10;12;16;17;17;14;13;13
66;21;17;10;14;22;18;13;11;21;13;6;10;12;16;17;17;14;13
67;12;20;15;10;14;22;18;12;11;19;12;6;11;13;16;16;17;14
68;12;12;19;15;10;15;23;18;12;10;19;11;6;11;12;17;12;17
69;15;12;12;19;14;11;14;23;18;10;9;19;10;6;11;11;18;12
70;11;15;10;13;18;14;8;15;22;17;10;9;20;10;6;11;12;18
71;10;11;15;9;13;19;15;8;15;22;16;10;10;20;9;6;9;13
72;2;9;11;14;10;13;19;12;9;14;22;16;10;9;20;9;7;7
73;11;2;7;10;12;11;13;17;12;9;14;21;15;10;9;19;8;7
74;7;9;2;8;10;13;10;13;17;12;8;14;21;14;10;9;17;4
75;10;7;8;2;8;10;13;9;12;17;11;8;14;21;16;9;9;17
76;10;8;5;8;1;8;8;11;6;11;15;9;8;14;20;14;9;9
77;8;10;8;4;9;1;8;7;10;6;9;14;9;8;14;20;11;9
78;8;8;6;8;4;7;1;7;8;10;6;8;12;8;9;13;20;10
79;7;9;9;6;8;4;6;2;6;9;10;7;9;10;8;9;13;21
80;5;6;10;8;6;4;4;5;2;7;7;9;5;9;9;7;7;12
81;5;2;6;9;7;6;4;6;3;2;7;6;7;4;9;9;7;7
82;5;3;2;6;7;6;6;4;5;3;1;7;5;6;3;8;9;7
83;2;5;3;2;5;8;6;4;3;4;3;1;6;4;5;3;8;11
84;2;2;4;4;2;5;8;5;4;3;2;1;1;6;3;4;4;8
85;2;2;2;3;5;2;5;7;4;5;2;2;1;1;6;3;4;4
86;4;3;2;2;3;4;2;3;7;2;4;2;1;1;1;6;3;4
87;5;3;3;0;2;3;3;2;3;6;2;3;2;1;1;2;5;2
88;2;5;3;3;0;2;3;3;2;2;6;2;2;2;1;0;2;4
89;2;2;4;3;3;0;1;1;2;0;2;5;2;2;1;1;0;0
90;3;2;2;3;1;3;0;0;1;2;0;2;5;2;1;1;0;0
91;1;4;1;2;3;1;2;0;0;1;2;0;1;5;1;1;0;0
92;1;1;3;0;2;3;0;0;0;0;1;1;0;1;5;2;0;0
93;2;1;0;1;0;1;3;0;0;0;0;1;1;0;0;4;1;0
94;0;0;1;0;0;0;1;3;0;0;0;0;1;1;0;0;2;1
95;1;0;0;1;0;0;0;1;2;0;0;0;0;1;1;0;0;2
96;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
97;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
98;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;1057;1055;1063;1072;1066;1075;1117;1091;1073;1070;1059;1065;1060;1087;1071;1111;1097;1105
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;3;9;7;2;9;9;8;10;8;6;8;13;6;7;9;6;7;10
1;8;5;8;6;2;10;10;6;9;9;6;8;15;8;7;8;7;6
2;8;12;6;9;6;1;11;11;7;11;9;6;7;13;7;7;6;4
3;3;8;11;5;8;6;3;11;9;7;12;9;5;9;16;7;7;8
4;10;4;8;12;4;8;8;5;11;10;7;13;9;7;9;15;6;7
5;4;9;6;8;10;5;10;7;5;11;11;7;11;9;8;10;15;6
6;6;4;9;6;8;11;7;11;6;5;11;12;6;9;6;7;11;15
7;4;7;4;10;5;7;11;6;10;6;5;11;11;6;11;7;7;13
8;8;4;7;5;8;5;8;11;4;10;6;6;10;9;6;11;5;7
9;8;8;3;8;5;8;5;9;11;4;11;5;6;11;12;5;11;7
10;5;10;9;3;9;7;8;6;12;12;4;11;5;8;13;12;5;11
11;4;5;8;9;2;9;8;8;4;10;12;4;11;6;6;13;11;5
12;12;4;5;8;9;3;9;8;9;4;10;13;4;7;5;6;11;10
13;10;11;4;5;8;11;3;8;7;9;4;10;13;4;9;4;6;12
14;4;10;10;4;5;8;11;2;8;7;10;3;11;13;4;9;4;5
15;10;3;11;10;3;4;5;8;2;8;6;10;3;11;14;4;10;4
16;8;9;3;10;10;6;4;5;8;2;8;6;10;3;11;12;5;10
17;11;7;9;3;10;10;6;5;4;8;2;8;6;13;5;11;12;5
18;6;11;7;7;4;11;14;7;6;7;8;3;10;6;13;5;11;13
19;5;6;12;10;7;5;10;16;7;5;8;7;3;11;7;12;5;11
20;14;6;4;13;9;10;6;10;14;8;6;9;7;3;8;6;10;3
21;13;12;5;4;10;11;16;6;9;14;7;5;11;8;3;7;7;11
22;11;12;13;4;4;12;10;14;5;9;13;7;4;10;11;2;9;6
23;14;10;11;12;5;4;11;8;13;7;8;12;5;5;10;10;2;8
24;16;14;9;12;11;6;4;13;8;14;8;9;11;6;5;11;10;2
25;7;13;12;8;13;10;6;5;13;8;12;8;7;16;7;6;11;9
26;18;8;12;12;7;11;12;5;4;13;9;13;8;8;16;6;6;11
27;18;20;8;15;8;9;10;14;6;5;15;11;14;8;10;13;6;7
28;14;19;17;7;17;9;16;9;12;4;8;13;12;13;7;9;11;6
29;12;14;19;20;8;18;12;18;9;8;9;9;16;12;13;8;8;9
30;16;12;13;22;16;8;17;11;13;6;11;10;7;18;13;12;9;9
31;17;13;10;10;21;12;9;18;11;14;10;14;12;8;17;9;8;9
32;15;18;13;12;11;22;13;9;21;11;14;10;14;10;5;18;8;7
33;16;14;15;15;9;11;14;13;10;19;10;16;8;12;9;3;17;7
34;19;17;11;15;13;10;12;12;16;11;16;10;16;9;13;10;2;14
35;14;19;17;13;14;15;10;12;15;15;12;15;12;15;8;14;9;2
36;10;14;21;19;13;18;14;12;12;16;14;15;14;13;15;10;14;6
37;17;12;14;20;20;14;18;16;10;13;16;15;15;16;13;15;10;14
38;18;17;12;15;21;18;13;17;14;10;11;17;16;15;16;13;14;9
39;10;19;15;12;14;21;17;16;18;15;10;13;16;17;13;14;12;15
40;17;11;20;15;12;14;20;17;16;17;15;10;14;16;14;12;14;11
41;14;19;13;19;14;13;14;20;15;18;17;16;10;16;18;14;8;15
42;12;15;21;12;21;14;15;13;21;15;18;19;17;11;18;19;14;8
43;15;11;13;17;10;22;14;15;13;21;17;18;18;16;10;16;18;14
44;23;14;12;14;17;11;22;15;15;12;21;16;18;16;17;11;15;20
45;17;23;14;12;14;17;11;23;15;14;12;22;16;18;17;16;11;14
46;16;17;23;15;11;16;17;11;19;15;15;12;20;15;17;20;15;12
47;18;16;19;24;13;11;14;17;12;20;15;15;11;20;16;17;20;15
48;15;17;17;19;24;15;11;15;17;11;20;13;14;11;22;16;15;18
49;19;15;17;18;20;25;16;11;15;18;11;19;14;14;11;22;16;14
50;15;19;15;18;19;20;26;16;12;14;18;11;21;16;12;11;21;15
51;20;15;18;14;17;20;21;23;16;14;14;18;12;21;16;11;12;22
52;15;20;15;19;13;17;20;23;23;16;13;14;17;12;22;15;12;12
53;18;14;21;15;21;13;17;19;22;25;16;12;15;16;10;22;15;12
54;19;19;14;21;14;21;13;16;19;22;24;15;12;17;16;9;21;13
55;13;19;20;14;22;14;22;13;16;18;23;24;15;13;17;15;8;21
56;11;13;19;20;13;21;14;20;13;16;18;22;24;15;15;14;15;8
57;10;11;13;19;20;14;20;14;20;13;16;18;22;24;16;16;16;15
58;14;12;13;13;19;20;15;20;14;19;13;16;21;22;23;14;16;15
59;15;16;12;13;12;18;20;15;20;14;18;13;16;20;23;22;14;15
60;12;14;16;12;14;12;17;22;16;20;14;17;13;16;19;23;24;14
61;12;12;14;16;12;14;12;16;19;16;20;14;16;13;16;18;23;23
62;9;13;12;14;15;9;14;13;17;18;16;20;15;17;14;14;17;23
63;18;9;13;12;14;16;10;13;13;16;18;16;20;15;15;13;16;17
64;15;18;9;13;11;14;16;10;13;13;16;16;16;20;15;15;15;18
65;19;15;17;8;12;13;14;16;10;13;13;16;16;16;20;15;14;15
66;16;18;16;15;7;12;11;13;16;8;13;12;15;16;15;20;15;14
67;19;16;17;15;15;7;12;10;13;16;8;13;12;13;16;15;19;14
68;20;16;16;17;14;15;8;14;10;14;16;8;12;12;12;15;13;20
69;21;20;16;16;15;14;15;8;13;10;13;15;8;12;12;13;16;12
70;20;22;19;16;16;14;16;15;8;13;10;14;14;8;12;10;13;16
71;16;20;22;18;16;15;12;14;16;7;12;9;13;16;8;11;10;13
72;16;14;19;21;17;16;15;13;12;16;6;12;10;14;16;8;11;10
73;10;16;14;19;20;17;15;16;13;11;16;6;12;10;14;15;7;13
74;20;9;15;12;20;18;17;15;17;13;11;16;7;12;10;14;14;6
75;16;20;8;17;13;19;19;18;15;16;12;10;16;7;11;11;14;13
76;9;16;18;8;16;11;18;19;18;14;15;12;10;16;8;12;9;13
77;22;8;16;16;8;16;10;18;17;15;14;13;11;10;16;8;9;9
78;17;24;8;15;14;9;15;10;18;17;15;15;11;11;10;16;8;8
79;19;17;23;8;14;13;10;13;10;17;16;14;16;11;11;9;14;8
80;20;17;16;20;7;14;13;10;13;10;17;16;15;15;12;12;9;15
81;14;18;15;14;18;8;15;13;9;12;10;17;14;16;13;13;13;10
82;8;16;17;14;14;18;8;15;13;9;11;10;16;14;15;12;13;10
83;4;7;15;17;13;13;19;9;13;13;8;11;11;15;15;13;11;12
84;5;4;7;12;14;12;13;17;9;12;11;7;12;11;13;15;13;10
85;5;4;4;3;13;13;13;11;15;8;10;10;8;12;10;13;14;13
86;2;4;4;4;2;11;12;13;11;14;8;7;10;6;14;10;10;13
87;3;2;4;4;2;2;9;11;11;11;13;8;4;8;6;15;9;6
88;8;4;0;5;3;3;2;7;11;8;10;12;7;3;9;6;12;10
89;8;8;3;1;4;3;3;1;9;11;7;9;11;6;3;8;7;10
90;7;7;7;2;3;4;3;2;1;8;9;6;9;11;6;3;6;8
91;5;6;3;5;2;2;2;2;3;0;8;4;4;10;7;5;4;6
92;4;3;6;3;4;1;2;3;2;2;0;6;1;4;7;5;4;2
93;0;2;3;6;1;3;1;0;3;1;2;0;4;2;4;6;3;4
94;3;0;1;3;5;1;3;1;0;3;1;2;1;5;2;1;6;4
95;4;3;0;0;2;1;1;3;1;0;1;1;2;1;6;2;1;6
96;0;3;3;0;0;2;1;1;2;1;0;1;0;2;0;5;1;0
97;2;0;3;2;0;0;1;1;1;2;1;0;0;0;1;0;4;1
98;0;2;0;2;0;0;0;1;0;1;1;1;0;0;0;1;0;4
99;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0
100 e oltre;0;0;0;2;1;1;1;1;1;2;0;0;0;0;0;0;0;0
Totale;1170;1172;1148;1138;1095;1115;1139;1142;1126;1114;1113;1115;1106;1127;1133;1099;1063;1045

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Cittadinanza italiana - Comune: Valle Lomellina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;11;15;8;14;15;15;9;8;9;9;14;7;13;9;7;9;12
1;16;14;9;12;9;18;17;14;8;7;9;10;15;10;12;9;8;10
2;11;20;15;11;10;8;18;19;15;10;7;9;8;16;9;15;10;6
3;13;13;19;14;9;11;9;17;15;14;10;7;9;10;19;8;16;11
4;12;15;12;20;15;10;13;11;16;15;14;10;7;13;9;18;9;14
5;14;13;17;11;15;16;15;12;10;17;15;14;8;8;12;8;19;10
6;10;13;11;16;9;15;14;16;11;10;17;15;15;8;6;11;10;20
7;10;12;12;12;15;9;16;14;14;11;10;18;14;15;12;6;11;11
8;16;8;12;13;9;14;12;16;12;15;11;11;18;13;16;11;6;11
9;20;16;9;13;12;9;16;13;16;12;15;10;11;18;15;13;12;8
10;12;20;19;9;14;14;10;16;16;17;12;17;10;14;20;15;13;11
11;13;12;18;18;8;14;15;10;14;14;17;11;16;11;12;19;15;14
12;24;14;13;18;16;9;15;15;10;14;14;17;11;13;12;11;16;14
13;19;24;14;14;18;18;9;15;14;9;14;14;18;11;12;11;10;17
14;13;18;23;14;15;18;17;9;15;14;10;13;15;18;11;15;10;9
15;15;12;18;23;13;14;15;14;9;13;12;10;13;16;18;11;17;10
16;17;14;11;17;21;13;14;15;15;9;13;12;10;14;17;17;12;15
17;16;15;14;11;15;19;11;13;13;15;10;12;12;12;15;17;17;11
18;18;16;14;11;11;18;22;11;14;15;15;11;15;14;13;14;19;20
19;18;18;17;18;10;13;16;22;11;13;15;14;10;14;14;12;15;16
20;26;17;20;16;17;13;13;17;20;12;14;15;14;10;10;13;10;12
21;21;23;16;19;16;16;16;11;18;19;11;12;17;15;9;9;13;10
22;24;23;25;14;19;16;15;14;9;17;19;11;13;15;16;9;11;13
23;30;23;24;24;15;16;12;16;15;10;16;18;10;12;15;17;9;13
24;27;30;21;27;24;14;17;14;17;16;11;17;18;14;11;15;18;9
25;25;24;26;19;27;20;13;19;13;17;14;10;16;21;14;12;18;17
26;27;27;21;27;19;24;21;12;18;17;18;15;10;17;23;14;11;19
