"Popolazione per età, vista per singola area - Comune: 044015 - Comunanza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Comunanza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;20;24;31;21;31;25;33;26;27;17;27;24;21;37;28;31;18;21
1;40;23;25;33;21;32;26;33;27;31;18;27;26;19;37;27;32;20
2;27;39;22;24;32;21;31;25;33;27;31;17;28;27;25;36;25;28
3;34;28;39;21;24;31;21;29;26;33;29;31;18;27;27;26;36;24
4;25;35;27;38;22;26;30;21;29;27;33;31;32;17;28;24;26;35
5;31;23;38;29;37;22;27;29;21;28;28;33;29;34;18;26;23;25
6;31;30;23;34;32;39;22;27;28;21;29;28;34;28;33;17;25;23
7;29;32;30;24;34;31;38;21;26;28;21;31;28;34;29;31;17;24
8;29;30;31;28;24;37;32;38;22;26;29;20;31;27;32;28;28;18
9;42;29;33;34;30;24;35;33;35;22;26;29;20;31;28;30;26;29
10;30;42;29;31;33;30;25;33;33;35;22;26;30;20;30;27;30;27
11;24;28;43;30;32;33;30;29;33;33;35;22;26;29;19;29;26;29
12;28;24;28;41;30;31;33;32;29;33;33;35;22;27;30;20;29;26
13;44;26;25;31;41;31;32;32;32;28;35;33;35;22;27;31;20;29
14;24;44;27;25;32;38;32;34;32;32;29;33;33;35;22;26;31;20
15;34;24;45;25;25;32;38;34;36;32;31;29;30;33;35;22;26;30
16;39;32;25;46;25;26;30;40;34;37;33;30;28;32;33;35;22;26
17;41;37;32;26;47;25;26;32;42;34;37;32;31;28;32;31;36;23
18;26;39;37;32;28;48;27;29;34;42;34;37;31;31;28;33;30;35
19;28;25;41;38;31;30;50;29;29;34;42;34;37;30;30;26;33;31
20;22;26;29;41;39;34;34;53;28;28;34;42;34;35;30;29;28;32
21;43;26;29;29;41;41;37;33;54;27;29;35;40;34;34;30;28;27
22;30;43;28;30;26;45;42;37;31;51;28;27;34;41;37;35;31;30
23;30;31;46;27;26;28;46;46;40;30;53;28;26;33;41;37;36;31
24;33;28;33;48;26;27;30;48;45;41;34;53;26;29;34;41;38;37
25;34;37;30;35;44;29;33;31;50;46;42;35;50;26;31;36;40;38
26;36;32;37;35;35;40;31;32;29;49;49;42;34;45;31;31;33;35
27;40;38;34;43;37;35;45;31;36;31;50;49;40;33;42;29;31;34
28;41;41;38;36;39;38;35;50;30;34;28;50;50;38;35;41;27;32
29;51;43;42;44;42;39;39;35;52;30;36;30;54;47;35;36;38;24
30;50;53;43;48;46;46;45;40;35;52;30;36;29;50;43;33;35;40
31;39;48;51;46;48;46;53;47;39;33;56;31;37;30;51;40;35;35
32;58;41;50;53;45;45;49;46;45;39;31;56;32;33;30;50;38;38
33;45;55;42;53;53;44;43;45;41;48;36;29;54;32;35;28;44;39
34;52;45;60;41;52;53;42;39;45;41;47;37;28;50;29;35;28;43
35;57;51;47;62;43;52;51;41;37;44;40;46;35;27;51;26;33;29
36;51;59;53;50;60;43;52;51;41;39;43;42;43;36;32;51;24;32
37;57;50;56;54;53;60;43;53;49;42;40;43;43;44;36;31;50;24
38;60;56;50;52;55;52;60;42;52;45;43;42;41;43;46;33;31;53
39;43;59;56;52;49;53;52;60;42;48;46;42;40;41;42;44;32;34
40;52;42;56;56;51;48;51;52;58;43;48;48;40;41;39;37;40;31
41;42;52;42;54;54;51;49;55;53;56;42;45;47;40;42;37;36;41
42;47;42;52;41;54;52;56;50;54;52;58;42;47;47;40;43;36;34
43;55;47;43;54;42;55;53;59;51;56;51;55;43;49;45;40;44;35
44;35;54;49;41;51;42;54;56;58;52;55;51;54;43;49;44;42;44
45;46;35;55;48;41;50;40;56;57;60;53;55;50;54;41;51;44;41
46;40;47;35;52;49;41;52;36;57;57;60;52;54;50;58;43;52;46
47;34;38;48;40;52;49;41;52;36;56;57;57;51;56;50;59;44;53
48;41;34;40;50;40;53;48;41;51;37;54;57;57;52;56;49;58;44
49;35;41;34;42;51;41;53;49;40;50;37;54;57;56;52;57;49;57
50;24;34;41;34;43;48;43;51;51;42;50;36;55;56;58;53;57;49
51;38;24;34;41;31;42;48;43;51;51;42;49;35;56;57;59;52;55
52;36;39;24;34;40;31;42;47;42;51;52;39;48;34;56;56;59;51
53;32;37;40;24;35;36;29;41;47;41;51;51;39;48;34;56;56;59
54;28;36;38;41;23;35;37;32;44;48;42;50;50;38;48;34;56;57
55;32;28;34;36;43;23;36;39;31;44;47;42;47;49;37;48;32;55
56;41;33;28;33;36;44;22;35;39;31;46;48;40;47;49;37;48;35
57;24;40;33;28;33;36;45;23;35;37;30;45;50;41;47;47;37;48
58;28;23;40;33;28;33;36;46;23;35;37;30;45;49;41;48;47;39
59;40;29;24;39;32;28;32;35;46;22;36;37;32;45;47;41;51;43
60;27;40;26;24;39;30;27;34;37;45;22;36;38;32;45;46;41;51
61;31;28;40;27;24;37;29;27;34;37;46;24;36;37;32;44;46;38
62;47;33;28;40;27;24;36;31;28;35;37;45;23;38;35;31;42;45
63;41;47;33;28;40;28;24;35;30;29;35;37;44;24;37;35;30;42
64;45;40;46;32;28;39;27;23;35;29;27;34;38;42;23;37;36;29
65;41;44;39;46;30;28;38;27;23;35;29;27;34;38;42;24;36;35
66;32;41;44;41;46;28;28;37;28;23;35;29;27;36;39;41;22;35
67;39;32;40;43;41;45;28;28;38;28;24;35;28;27;34;38;40;21
68;43;39;31;39;42;41;43;28;28;38;27;24;35;28;27;33;38;40
69;46;43;38;31;38;42;41;43;29;29;38;26;24;34;28;26;33;38
70;29;45;43;37;31;37;42;40;44;28;28;37;26;24;34;26;23;33
71;39;29;44;42;37;31;36;40;37;44;27;28;37;26;24;33;27;23
72;34;34;29;44;42;34;31;36;40;36;43;29;28;37;25;22;31;27
73;38;35;33;26;41;40;31;30;36;37;35;43;29;27;37;24;22;31
74;31;38;35;33;25;41;40;30;28;36;37;34;42;29;26;38;24;22
75;28;30;37;34;28;25;39;44;28;29;36;36;34;41;29;25;35;23
76;28;29;26;35;33;26;26;36;44;30;29;34;36;33;40;29;24;35
77;40;28;27;26;34;31;27;26;35;43;28;29;34;36;32;41;27;22
78;25;40;28;27;25;33;30;26;23;35;43;27;30;34;36;31;39;26
79;22;25;42;27;24;26;31;29;26;23;33;43;27;29;33;37;30;39
80;22;22;25;38;26;25;23;27;28;25;22;32;42;25;26;30;35;29
81;15;22;21;24;37;21;24;22;28;28;24;22;30;41;23;25;30;31
82;11;15;21;21;23;34;23;23;18;26;27;23;21;28;39;23;25;28
83;14;11;16;21;20;23;29;21;18;14;24;27;20;21;27;37;21;23
84;6;14;11;15;21;18;22;26;20;16;12;23;27;18;21;25;36;20
85;10;6;14;9;16;17;15;19;22;16;15;10;20;27;16;18;22;33
86;10;10;6;12;9;15;17;10;15;21;13;12;9;18;25;16;16;19
87;11;9;10;6;12;6;10;16;7;13;19;10;12;6;17;22;15;12
88;14;10;7;6;5;10;6;9;15;6;10;18;9;12;5;12;20;13
89;10;12;10;4;6;4;6;6;7;10;6;9;16;8;12;4;10;18
90;3;10;7;6;4;5;4;4;4;4;10;5;7;14;7;10;3;9
91;8;1;4;7;6;5;4;4;4;4;4;9;5;4;12;7;10;2
92;4;7;2;3;5;4;4;3;3;3;2;3;8;5;3;11;5;7
93;3;4;7;2;3;4;4;4;3;3;1;2;3;7;4;3;7;4
94;4;3;4;4;1;3;3;4;5;2;3;0;2;2;4;3;3;5
95;0;3;3;3;3;0;3;1;4;5;2;3;0;2;1;2;1;1
96;2;0;1;3;3;2;0;0;1;3;5;0;3;0;0;0;2;0
97;0;2;0;1;3;1;2;0;0;1;3;3;0;1;0;0;0;2
98;0;0;2;0;1;2;0;2;0;0;0;2;1;0;1;0;0;0
99;0;0;0;2;0;1;2;0;2;0;0;0;1;1;0;0;0;0
100 e oltre;0;0;0;0;1;1;2;2;2;3;2;1;1;1;1;1;1;0
Totale;3101;3112;3155;3180;3179;3167;3204;3217;3210;3191;3208;3191;3168;3159;3164;3121;3067;3038
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;13;12;17;13;15;13;22;15;15;8;16;10;10;19;12;16;7;9
1;26;15;12;17;14;16;13;22;15;17;9;16;10;8;19;11;16;8
2;19;27;14;12;18;13;16;13;21;15;17;8;17;11;12;19;11;15
3;21;20;27;13;12;17;13;14;13;21;17;19;9;16;11;13;19;10
4;10;21;19;26;14;13;16;13;14;13;21;19;19;9;17;12;13;19
5;19;10;23;21;24;14;13;16;13;14;13;22;18;19;9;15;12;12
6;17;19;10;22;21;24;14;13;15;13;15;13;22;17;18;9;15;12
7;12;18;19;11;21;20;24;13;13;15;13;15;13;22;18;16;9;13
8;16;12;17;17;11;23;21;24;13;13;17;12;15;13;22;18;14;9
9;24;16;15;17;19;11;23;22;24;13;13;17;12;15;14;20;16;14
10;17;23;16;13;17;19;11;21;22;24;13;13;18;12;15;14;20;16
11;13;15;23;17;13;17;19;14;21;22;24;13;13;17;11;16;14;19
12;13;13;15;22;17;14;17;19;14;21;22;24;13;14;17;12;16;14
13;24;12;14;17;23;18;14;17;19;13;23;21;24;13;14;17;12;16
14;15;24;13;14;17;21;19;16;17;19;13;22;21;24;13;14;17;12
15;16;13;24;13;14;17;21;19;18;17;19;13;20;21;24;13;14;17
16;23;14;14;25;13;15;16;21;19;18;18;19;13;21;21;24;13;14
17;21;23;14;15;25;13;15;18;22;18;18;17;20;13;21;21;24;14
18;15;19;23;14;15;26;14;16;20;22;18;18;17;20;13;21;21;24
19;14;13;19;24;13;15;28;15;16;20;22;18;17;17;19;11;22;22
20;13;14;15;19;25;15;17;28;14;16;19;22;18;15;17;18;12;21
21;23;17;15;15;19;25;17;16;29;13;17;19;21;18;14;17;18;11
22;16;24;18;15;15;21;25;19;15;26;13;17;18;21;17;14;17;19
23;18;17;27;17;14;16;21;30;19;14;26;13;16;17;21;19;14;16
24;14;18;17;28;16;14;17;21;30;19;16;26;13;17;18;21;20;15
25;15;15;19;17;25;18;18;18;22;28;20;16;26;13;17;20;21;19
26;19;14;16;19;17;23;17;18;18;22;31;19;14;23;16;17;18;20
27;22;20;15;19;20;17;25;16;21;18;23;32;18;14;23;15;17;18
28;22;21;21;15;15;19;16;29;14;20;17;24;34;17;14;21;14;18
29;22;25;23;27;19;16;20;17;30;14;22;17;27;33;15;15;23;12
30;27;23;24;25;29;21;17;21;17;29;14;21;16;26;29;15;16;22
31;15;27;23;25;24;28;26;19;19;15;30;15;22;16;28;26;16;16
32;28;17;27;23;26;23;31;22;18;19;14;30;14;18;17;29;24;18
33;25;26;16;28;24;26;21;28;20;19;18;11;29;14;19;16;26;24
34;23;24;29;17;25;22;26;20;27;20;18;19;10;27;13;19;16;24
35;25;23;26;32;17;25;24;25;18;27;19;18;19;10;26;13;18;17
36;31;27;25;29;31;18;24;24;25;19;26;22;16;20;13;25;10;18
37;32;30;25;24;29;31;18;25;24;26;20;27;21;15;19;14;25;10
38;30;33;29;24;24;29;31;19;27;21;27;21;24;21;16;17;14;28
39;24;30;33;30;23;24;30;31;19;27;20;26;20;24;21;16;16;17
40;25;21;28;33;30;21;22;30;29;19;27;20;25;20;24;17;12;16
41;24;27;21;28;33;30;22;25;30;28;18;26;21;25;21;22;16;12
42;20;24;27;21;28;31;33;24;24;29;28;18;27;21;26;22;21;16
43;32;20;24;27;21;28;31;35;24;24;29;25;19;28;21;26;24;20
44;17;32;21;24;27;22;27;33;34;25;22;29;24;19;28;20;27;24
45;21;17;33;20;24;26;21;29;34;34;25;22;29;23;19;29;21;27
46;20;22;16;30;21;24;28;19;29;34;34;25;22;29;25;19;29;23
47;19;18;24;20;29;21;24;29;19;28;33;33;24;24;29;27;20;30
48;20;18;19;26;20;30;21;24;28;19;28;34;33;26;24;29;26;20
49;16;21;18;19;25;20;30;21;22;27;19;28;34;33;26;26;28;25
50;11;16;21;19;21;23;21;30;23;23;27;18;29;34;34;26;26;28
51;20;11;16;21;18;20;22;21;30;24;23;27;18;29;35;34;25;25
52;19;20;11;15;21;18;21;21;21;30;24;22;26;18;29;35;34;25
53;17;20;21;11;16;20;18;20;21;21;30;24;21;26;18;29;35;34
54;12;20;20;20;10;16;19;18;22;21;23;29;24;21;26;18;29;34
55;13;12;20;19;21;10;17;19;18;22;21;23;27;24;21;26;17;28
56;22;13;12;19;19;21;9;15;19;18;23;20;21;27;24;21;26;17
57;12;22;13;12;19;19;23;9;15;18;18;23;22;21;27;22;21;26
58;12;11;22;13;12;19;19;24;9;15;17;18;23;21;21;27;23;22
59;18;12;12;21;13;12;18;19;24;9;16;17;18;23;21;21;29;22
60;11;18;12;12;21;12;11;18;19;23;9;16;17;18;23;21;21;29
61;13;12;17;13;12;20;11;11;18;19;22;10;15;16;18;22;21;19
62;22;15;12;17;13;12;19;13;13;19;19;21;9;15;15;19;21;20
63;23;22;15;12;17;13;12;18;13;14;19;19;20;9;15;14;19;21
64;20;23;21;14;12;16;12;10;18;11;12;18;19;19;9;15;15;18
65;17;20;22;21;13;12;16;12;11;18;11;12;18;19;19;10;15;15
66;17;17;21;22;21;12;12;16;12;11;18;11;12;19;19;19;10;15
67;20;17;17;21;22;20;12;12;17;12;11;18;11;12;17;19;18;9
68;17;20;17;16;20;22;20;12;12;17;11;11;18;11;11;17;19;18
69;27;17;19;17;16;20;22;19;12;12;17;10;11;18;11;10;17;19
70;8;26;17;19;17;15;20;22;20;11;11;16;10;11;18;11;8;17
71;19;8;26;17;19;17;15;17;19;20;11;11;15;10;11;17;11;8
72;12;17;8;26;17;17;16;15;17;18;19;12;11;15;9;9;15;11
73;16;13;16;8;24;16;14;15;15;16;18;19;12;11;16;8;9;15
74;13;16;13;16;7;24;16;14;13;15;16;17;18;12;10;16;8;9
75;17;12;16;12;12;5;22;18;14;13;15;15;17;18;12;9;15;7
76;12;18;11;15;12;10;5;19;18;14;13;13;15;16;18;12;9;15
77;14;12;17;11;14;11;10;5;18;16;13;13;13;15;15;18;10;8
78;11;13;13;17;10;14;11;10;4;18;16;12;14;13;15;14;17;9
79;13;11;14;12;14;11;12;10;10;4;17;16;12;13;12;16;13;17
80;10;13;11;12;11;15;11;10;9;10;3;16;15;12;12;11;15;12
81;2;10;13;10;11;9;15;11;11;9;10;3;16;15;10;11;11;12
82;6;1;9;12;9;9;10;14;6;10;9;9;3;16;14;10;12;10
83;5;6;1;9;10;7;6;10;9;4;10;9;7;3;16;14;8;11
84;2;5;6;0;9;9;6;5;9;8;4;9;9;6;3;14;14;8
85;4;2;5;6;0;9;9;4;4;6;8;3;7;9;5;2;12;12
86;4;4;2;4;6;0;10;6;2;3;6;6;3;7;9;5;2;9
87;1;3;3;2;4;4;0;9;3;1;3;5;6;2;6;8;4;2
88;5;1;3;2;2;2;4;0;9;2;1;2;4;6;2;4;6;4
89;5;5;1;2;2;2;2;3;0;5;2;1;2;3;6;2;3;5
90;0;5;2;1;2;2;2;1;3;0;5;2;1;1;2;5;2;3
91;0;0;2;3;1;2;2;2;1;3;0;5;2;0;1;2;5;2
92;2;0;0;2;3;0;2;2;2;1;1;0;4;2;0;1;2;2
93;0;2;0;0;2;2;0;1;1;2;0;1;0;4;1;0;1;2
94;3;0;2;0;0;2;2;0;2;0;2;0;1;0;2;0;0;1
95;0;2;0;1;0;0;2;1;0;2;0;2;0;1;0;1;0;0
96;0;0;0;0;1;0;0;0;1;0;2;0;2;0;0;0;1;0
97;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;1533;1547;1574;1593;1587;1574;1607;1617;1610;1584;1600;1589;1573;1570;1575;1561;1538;1521
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;7;12;14;8;16;12;11;11;12;9;11;14;11;18;16;15;11;12
1;14;8;13;16;7;16;13;11;12;14;9;11;16;11;18;16;16;12
2;8;12;8;12;14;8;15;12;12;12;14;9;11;16;13;17;14;13
3;13;8;12;8;12;14;8;15;13;12;12;12;9;11;16;13;17;14
4;15;14;8;12;8;13;14;8;15;14;12;12;13;8;11;12;13;16
5;12;13;15;8;13;8;14;13;8;14;15;11;11;15;9;11;11;13
6;14;11;13;12;11;15;8;14;13;8;14;15;12;11;15;8;10;11
7;17;14;11;13;13;11;14;8;13;13;8;16;15;12;11;15;8;11
8;13;18;14;11;13;14;11;14;9;13;12;8;16;14;10;10;14;9
9;18;13;18;17;11;13;12;11;11;9;13;12;8;16;14;10;10;15
10;13;19;13;18;16;11;14;12;11;11;9;13;12;8;15;13;10;11
11;11;13;20;13;19;16;11;15;12;11;11;9;13;12;8;13;12;10
12;15;11;13;19;13;17;16;13;15;12;11;11;9;13;13;8;13;12
