"Popolazione per età, vista per singola area - Comune: 004054 - Castelnuovo di Ceva"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castelnuovo di Ceva"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
45;0;2;1;1;1;1;3;0;0;4;1;4;3;2;0;0;3;1
46;1;0;2;1;1;1;1;3;0;0;4;1;3;3;3;0;0;2
47;1;1;0;2;1;2;1;1;3;0;0;5;1;3;3;4;0;0
48;1;1;1;1;2;1;2;1;1;3;0;0;5;1;3;3;5;0
49;3;1;1;1;1;2;1;2;1;1;3;0;1;4;1;3;3;4
50;1;3;1;1;1;0;2;1;2;2;1;3;1;1;4;1;4;3
51;3;2;4;1;1;1;0;2;1;2;2;1;3;0;1;4;1;3
52;2;3;2;4;2;2;1;0;1;1;2;1;2;2;0;0;4;0
53;3;1;3;2;6;1;2;1;2;1;1;2;1;2;2;0;1;4
54;4;3;1;4;2;6;1;2;1;0;1;1;2;2;2;2;0;1
55;3;4;3;1;4;2;6;1;2;1;0;1;1;1;2;2;1;1
56;0;3;5;3;1;3;2;4;1;2;1;0;1;1;1;2;2;1
57;1;0;3;4;4;1;4;2;4;2;2;2;0;1;1;1;2;2
58;1;1;0;3;4;4;1;4;2;4;2;2;2;0;1;1;1;2
59;3;1;1;0;3;4;4;2;4;2;4;2;3;2;0;0;1;1
60;0;3;1;1;0;3;4;4;2;4;1;3;1;3;2;0;2;1
61;2;0;3;1;1;0;3;4;4;2;4;1;3;1;3;1;0;1
62;2;2;0;3;1;1;0;3;4;4;2;3;1;3;1;3;1;0
63;5;2;2;0;3;1;1;0;3;4;4;3;2;1;3;1;3;1
64;1;5;2;2;0;3;1;1;0;3;4;2;2;1;1;3;1;2
65;0;1;4;2;2;0;3;1;1;0;3;3;2;1;1;1;3;1
66;3;0;2;3;2;2;0;3;1;1;0;3;3;2;1;1;1;3
67;0;3;0;2;3;2;2;0;3;1;1;0;3;2;3;1;1;1
68;1;0;3;0;1;4;2;2;0;3;1;1;0;3;2;3;2;1
69;2;1;0;3;0;1;4;2;2;0;3;1;1;0;3;2;2;2
70;1;2;1;0;3;0;1;4;2;2;0;3;1;1;0;3;2;2
71;0;1;2;1;0;3;0;1;4;2;2;0;3;1;1;0;3;2
72;1;0;1;2;2;0;3;0;1;4;2;1;0;3;1;0;0;4
73;1;1;0;1;2;2;0;3;0;1;5;2;1;1;3;1;0;0
74;2;1;1;0;1;2;0;0;3;0;1;4;2;1;1;3;1;0
75;3;2;1;1;0;1;2;0;0;3;0;1;4;2;1;1;3;1
76;2;3;2;1;0;0;1;2;0;0;3;0;1;4;2;1;1;3
77;3;2;3;0;1;0;0;1;2;0;0;2;0;1;4;2;0;1
78;1;3;2;2;0;1;0;0;1;2;0;0;2;0;1;4;3;0
79;1;1;3;2;2;0;1;0;0;1;2;0;0;2;0;1;5;3
80;2;1;1;3;1;2;0;0;0;0;1;2;0;0;2;0;1;2
81;2;2;0;1;3;1;2;0;0;0;0;1;2;0;0;1;0;1
82;1;2;2;0;1;3;1;2;0;0;0;0;1;1;0;0;1;0
83;0;1;2;1;0;1;3;1;2;0;0;0;0;2;1;0;0;2
84;0;0;1;2;1;0;1;1;1;2;0;0;0;0;1;1;0;0
85;0;0;0;1;2;2;0;1;1;1;2;0;0;0;0;1;1;0
86;2;0;0;0;1;2;2;0;1;0;1;2;0;0;0;0;1;1
87;0;2;0;0;0;1;2;2;0;1;0;1;1;0;0;0;0;0
88;2;0;2;0;0;0;1;2;1;0;1;0;0;1;0;0;0;0
89;1;1;0;2;0;0;0;1;2;1;0;0;0;0;1;0;1;0
90;0;1;1;1;2;0;0;0;0;2;1;0;0;0;0;1;0;0
91;0;0;1;1;1;2;0;0;0;0;2;0;0;0;0;0;1;0
92;0;0;0;1;1;1;2;0;0;0;0;2;0;0;0;0;0;1
93;1;0;0;0;1;1;1;2;0;0;0;0;2;1;0;0;0;0
94;0;1;0;0;0;1;1;1;2;0;0;0;0;2;0;0;0;0
95;0;0;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0
96;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0
97;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;1
98;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
99;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
100 e oltre;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
Totale;116;116;122;126;131;133;131;127;126;125;125;122;130;120;115;106;116;97
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;0
1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0
2;0;0;1;0;3;1;1;1;0;0;1;0;1;0;0;0;1;0
3;0;1;0;1;0;3;1;1;1;0;0;2;0;1;0;1;0;1
4;0;0;1;0;1;0;3;1;2;1;0;0;3;0;1;0;1;0
5;0;0;0;1;0;1;0;3;1;2;1;1;0;2;0;1;0;1
6;0;0;0;0;1;0;1;0;3;1;2;1;1;0;1;0;1;0
7;0;0;0;0;0;1;0;1;0;3;1;2;1;1;0;1;0;1
8;0;0;0;0;0;0;1;0;1;0;3;1;2;1;1;0;1;0
9;0;0;0;0;0;0;0;1;0;1;0;3;1;2;1;0;0;1
10;0;0;0;0;0;0;0;0;1;0;1;0;4;1;1;1;0;0
11;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;1;1;0
12;1;0;0;0;0;1;0;0;0;0;1;0;1;0;3;1;1;1
13;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;3;1;1
14;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;3;1
15;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;3
16;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
17;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
18;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0
19;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0
20;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
21;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
22;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
23;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;1;0
24;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;1
25;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0
26;0;1;1;0;0;0;0;0;1;0;0;2;1;0;2;0;1;0
27;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;2;1;0
28;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0
29;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
30;1;2;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
31;0;1;2;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0
32;0;0;1;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0
33;0;1;0;0;2;0;1;0;0;0;0;0;1;0;1;2;0;0
34;1;0;1;0;0;2;0;1;0;0;0;0;0;1;0;1;2;0
35;1;2;0;1;0;0;2;0;1;0;0;1;1;1;1;0;1;1
36;4;1;1;1;1;0;0;2;0;1;0;0;2;1;1;1;0;1
37;0;2;1;0;1;1;0;0;2;0;1;0;0;3;0;1;0;0
38;0;0;3;1;0;1;1;0;0;2;0;1;0;0;2;0;1;0
39;1;0;0;3;1;0;1;1;0;0;2;0;1;0;0;2;0;1
40;0;1;0;0;3;1;0;1;1;0;0;2;0;0;0;0;2;0
41;1;0;1;0;0;3;1;0;1;1;0;0;2;0;0;0;0;1
42;0;0;0;2;0;0;2;1;1;1;1;0;0;2;0;0;1;0
43;1;0;0;0;2;0;0;2;1;1;1;0;0;0;2;0;1;0
44;1;1;0;0;0;2;0;0;2;1;1;1;1;0;0;2;0;1
45;0;2;1;0;0;0;2;0;0;2;1;1;1;0;0;0;1;0
46;1;0;2;1;0;0;0;2;0;0;2;1;0;1;2;0;0;1
47;0;1;0;2;1;0;0;0;2;0;0;2;1;0;1;2;0;0
48;1;0;1;1;2;1;0;0;0;2;0;0;2;1;0;1;2;0
49;1;1;0;1;1;2;1;0;0;0;2;0;0;2;1;0;1;1
50;1;1;1;0;1;0;2;1;0;1;0;2;1;0;2;1;0;1
51;1;1;2;1;0;1;0;2;1;0;1;0;2;0;0;2;1;0
52;1;1;1;2;1;1;1;0;1;1;0;1;1;2;0;0;2;0
53;1;1;1;1;4;1;1;1;0;1;1;0;1;1;1;0;1;2
54;2;1;1;2;1;4;1;1;1;0;1;1;0;2;1;1;0;1
55;2;2;1;1;2;1;4;1;1;1;0;1;1;0;2;1;1;0
56;0;2;3;1;1;2;1;3;1;1;1;0;1;1;0;2;1;1
57;0;0;2;2;2;1;2;1;3;2;1;2;0;1;1;0;2;1
58;1;0;0;2;2;2;1;2;1;3;2;1;2;0;1;1;0;2
59;2;1;0;0;2;2;2;1;2;1;3;2;1;2;0;0;1;0
60;0;2;1;0;0;2;2;2;1;2;1;2;1;1;2;0;2;1
61;1;0;2;1;0;0;2;2;2;1;2;1;2;1;1;1;0;1
62;1;1;0;2;1;0;0;2;2;2;1;2;1;2;1;1;1;0
63;1;1;1;0;2;1;0;0;2;2;2;2;1;1;2;1;1;1
64;0;1;1;1;0;2;1;0;0;2;2;1;1;0;1;2;1;1
65;0;0;1;1;1;0;2;1;0;0;2;2;1;1;0;1;2;1
66;2;0;0;1;1;1;0;2;1;0;0;2;2;1;1;0;1;2
67;0;2;0;0;1;1;1;0;2;1;0;0;2;1;1;1;0;1
68;1;0;2;0;0;1;1;1;0;2;1;0;0;2;1;1;1;0
69;0;1;0;2;0;0;1;1;1;0;2;1;0;0;2;1;1;1
70;1;0;1;0;2;0;0;1;1;1;0;2;1;0;0;2;1;1
71;0;1;0;1;0;2;0;0;1;1;1;0;2;1;0;0;2;1
72;1;0;1;0;2;0;2;0;0;1;1;0;0;2;1;0;0;3
73;1;1;0;1;0;2;0;2;0;0;1;1;0;1;2;1;0;0
74;1;1;1;0;1;0;0;0;2;0;0;1;1;0;1;2;1;0
75;2;1;1;1;0;1;0;0;0;2;0;0;1;1;0;1;2;1
76;0;2;1;1;0;0;1;0;0;0;2;0;0;1;1;0;1;2
77;2;0;2;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1
78;0;2;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0
79;0;0;2;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1
80;1;0;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0
81;1;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0
82;0;1;1;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0
83;0;0;1;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0
84;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
85;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
86;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
87;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
88;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
89;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0
90;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
91;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
92;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
93;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
94;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
95;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;50;51;55;55;60;62;60;56;55;57;58;60;66;62;56;55;58;46
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0
1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1
2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0
3;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1
4;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
5;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
6;0;0;0;2;0;0;0;0;0;1;0;0;0;3;0;1;0;0
7;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;1;0
8;2;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;1
9;0;2;1;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0
10;0;0;2;1;0;1;0;2;0;0;0;0;1;1;0;0;1;1
11;0;0;0;2;1;0;1;0;2;0;0;0;0;0;1;0;0;0
12;0;0;0;0;2;1;0;1;0;2;0;0;1;0;0;1;0;0
13;0;0;0;0;0;2;1;0;1;0;2;0;0;3;2;0;1;0
14;0;0;0;1;0;0;2;1;0;1;0;2;0;0;2;1;0;1
15;0;0;0;0;1;0;0;2;1;0;1;0;2;0;0;1;1;0
16;0;0;0;0;0;1;0;0;2;1;0;1;1;2;0;0;1;0
17;0;0;0;2;0;0;1;0;0;2;1;0;1;0;2;0;0;0
18;0;0;0;0;2;0;0;1;0;0;2;1;0;1;0;2;0;0
19;0;0;0;0;0;2;0;0;1;0;0;2;1;0;1;0;3;0
20;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;1;2
21;3;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;1
22;0;3;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1
23;2;0;3;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0
24;1;2;0;3;1;0;0;0;0;0;1;0;0;0;0;1;2;0
25;1;1;2;0;3;1;0;0;0;0;0;1;0;0;0;0;2;1
26;2;0;1;2;0;3;1;0;0;0;0;0;1;0;0;0;0;1
27;0;2;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0
28;1;1;3;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0
29;0;1;1;4;0;0;2;0;3;1;0;0;0;0;0;0;0;0
30;0;0;1;1;4;0;0;2;0;3;1;0;0;0;1;0;0;0
31;0;0;0;1;1;4;0;0;2;0;3;2;0;0;0;0;0;0
32;2;0;0;1;1;1;4;0;0;2;0;3;1;0;1;0;0;0
33;2;2;0;0;2;1;1;4;0;0;2;0;4;1;0;0;0;0
34;3;2;3;0;0;2;1;1;4;0;0;3;1;4;1;0;0;1
35;0;3;2;3;0;0;3;1;1;3;0;0;3;0;3;0;0;0
36;1;0;3;2;3;0;0;3;1;1;3;0;0;2;1;3;0;0
37;0;1;0;3;2;2;0;0;2;1;1;2;1;0;2;0;3;0
38;0;0;1;0;3;2;2;0;0;2;1;1;1;1;0;2;0;3
39;1;0;0;2;0;3;2;2;0;0;1;1;1;1;1;0;1;0
40;1;1;0;0;2;0;2;2;2;0;0;1;1;1;1;0;0;1
41;1;1;1;0;0;2;0;2;2;3;0;0;0;1;0;1;0;0
42;1;1;1;1;0;0;2;0;3;2;3;0;0;1;1;0;1;0
43;0;1;1;1;1;0;0;2;0;3;2;3;0;0;2;1;0;1
44;0;0;1;1;1;1;0;0;2;0;3;2;2;0;0;2;2;0
45;0;0;0;1;1;1;1;0;0;2;0;3;2;2;0;0;2;1
46;0;0;0;0;1;1;1;1;0;0;2;0;3;2;1;0;0;1
47;1;0;0;0;0;2;1;1;1;0;0;3;0;3;2;2;0;0
48;0;1;0;0;0;0;2;1;1;1;0;0;3;0;3;2;3;0
49;2;0;1;0;0;0;0;2;1;1;1;0;1;2;0;3;2;3
50;0;2;0;1;0;0;0;0;2;1;1;1;0;1;2;0;4;2
51;2;1;2;0;1;0;0;0;0;2;1;1;1;0;1;2;0;3
52;1;2;1;2;1;1;0;0;0;0;2;0;1;0;0;0;2;0
53;2;0;2;1;2;0;1;0;2;0;0;2;0;1;1;0;0;2
54;2;2;0;2;1;2;0;1;0;0;0;0;2;0;1;1;0;0
55;1;2;2;0;2;1;2;0;1;0;0;0;0;1;0;1;0;1
56;0;1;2;2;0;1;1;1;0;1;0;0;0;0;1;0;1;0
57;1;0;1;2;2;0;2;1;1;0;1;0;0;0;0;1;0;1
58;0;1;0;1;2;2;0;2;1;1;0;1;0;0;0;0;1;0
59;1;0;1;0;1;2;2;1;2;1;1;0;2;0;0;0;0;1
60;0;1;0;1;0;1;2;2;1;2;0;1;0;2;0;0;0;0
61;1;0;1;0;1;0;1;2;2;1;2;0;1;0;2;0;0;0
62;1;1;0;1;0;1;0;1;2;2;1;1;0;1;0;2;0;0
63;4;1;1;0;1;0;1;0;1;2;2;1;1;0;1;0;2;0
64;1;4;1;1;0;1;0;1;0;1;2;1;1;1;0;1;0;1
65;0;1;3;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0
66;1;0;2;2;1;1;0;1;0;1;0;1;1;1;0;1;0;1
67;0;1;0;2;2;1;1;0;1;0;1;0;1;1;2;0;1;0
68;0;0;1;0;1;3;1;1;0;1;0;1;0;1;1;2;1;1
69;2;0;0;1;0;1;3;1;1;0;1;0;1;0;1;1;1;1
70;0;2;0;0;1;0;1;3;1;1;0;1;0;1;0;1;1;1
71;0;0;2;0;0;1;0;1;3;1;1;0;1;0;1;0;1;1
72;0;0;0;2;0;0;1;0;1;3;1;1;0;1;0;0;0;1
73;0;0;0;0;2;0;0;1;0;1;4;1;1;0;1;0;0;0
74;1;0;0;0;0;2;0;0;1;0;1;3;1;1;0;1;0;0
75;1;1;0;0;0;0;2;0;0;1;0;1;3;1;1;0;1;0
76;2;1;1;0;0;0;0;2;0;0;1;0;1;3;1;1;0;1
77;1;2;1;0;0;0;0;0;2;0;0;1;0;1;3;1;0;0
78;1;1;2;1;0;0;0;0;0;2;0;0;1;0;1;3;2;0
79;1;1;1;2;1;0;0;0;0;0;2;0;0;1;0;1;4;2
80;1;1;1;1;1;1;0;0;0;0;0;2;0;0;1;0;1;2
81;1;1;0;1;1;1;1;0;0;0;0;0;2;0;0;1;0;1
82;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0
83;0;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;2
84;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0
85;0;0;0;1;1;2;0;1;1;1;1;0;0;0;0;0;1;0
86;1;0;0;0;1;1;2;0;1;0;1;1;0;0;0;0;0;1
87;0;1;0;0;0;1;1;2;0;1;0;1;0;0;0;0;0;0
88;2;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0
89;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0
90;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0
91;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0
92;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1
93;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0
94;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0
95;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
96;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
97;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1
98;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
99;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
100 e oltre;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
Totale;66;65;67;71;71;71;71;71;71;68;67;62;64;58;59;51;58;51

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Cittadinanza straniera - Comune: Castelnuovo di Ceva"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;1
2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;2;0;0
3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
4;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1
5;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0
6;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
24;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0
25;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0
26;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;2;0;1
27;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;1;1;0
28;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;2;1;2
29;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;3;0
30;0;0;0;0;0;1;1;0;0;1;2;0;3;0;0;0;0;1
31;0;0;0;0;0;0;1;1;0;0;1;0;0;4;0;0;0;0
32;0;0;0;0;0;0;0;1;1;0;0;2;0;1;2;0;2;0
33;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0
34;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;3;0;0
35;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0
36;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
37;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
38;0;0;1;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0
39;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0
40;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0
41;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0
43;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
44;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
45;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
48;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
49;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
53;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
57;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0
58;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0
59;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0
60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
66;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
67;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
